Alvin and the Chipmunks Meet Frankenstein,20170101,1,,
Alvin and the Chipmunks Meet Frankenstein (1999),20160201,1,,
Alvin and the Chipmunks Meet the Wolfman,20170101,1,,
Alvin and the Chipmunks Meet the Wolfman (2000),20160301,1,,
Amapola,20170505,1,,
Amelie ,20181101,,,
America in Primetime (2011),20151101,1,,
America’s Secret D-Day Disaster,20170701,1,,
America’s Sweethearts (2001),20151029,1,,
American Beauty (1999),20161201,1,,
American Dad! Season 6,20170417,2,,
American Dad!: Season 7,20170507,2,,
American Dad!: Season 8,20170511,2,,
American Dad!: Seasons 1-4,20170815,2,,
American Dad!: Seasons 9 & 10,20170517,2,,
American Dreamz,20170316,1,,
American Masters: Billie Jean King (2013),20151001,1,,
American Pie (1999),20160301,1,,
American Pie Presents: Band Camp,20170701,1,,
American Pie Presents: Beta House,20170701,1,,
American Pie Presents: The Naked Mile,20170701,1,,
American Psycho (2000),20160101,1,,
American Psycho 2 (2002),20160101,1,,
American Wedding (2003),20160301,1,,
Amistad (1997),20160401,1,,
An American Girl: Saige Paints the Sky ,20170201,1,,
An Inconvenient Truth ,20170201,1,,
An Unmarried Woman,20170701,1,,
Analyze That (2002),20151001,1,,
Analyze This (1999),20151001,1,,
Anchorman 2: The Legend Continues (2013),20150930,1,,
Anchors Aweigh (1945),20160402,1,,
Angel Heart (1987),20161101,1,,
Angel: Seasons 1–5,20170401,2,,
Angela’s Ashes (1999),20151001,1,,
Angry Birds Toons: Season 1,20170101,2,,
"Angus, Thongs and Perfect Snogging",20170701,1,,
Anna Karenina,20181112,,,
Anna Karenina (1948),20160501,1,,
Annie Hall (1977),20151001,1,,
Another Gay Movie (2006),20160930,1,,
Anthony Bourdain: Parts Unknown: Seasons 1 – 5,20170515,2,,
Anywhere But Here (1999),20160901,1,,
Apocalypse Now (1979),20150930,1,,
Army Wives: Seasons 1 – 7,20170910,2,,
Arn: The Knight Templar (2007),20160309,1,,
Around the World in 80 Days: Special Edition (1956),20160402,1,,
Art of Flight: The Series,20151124,2,,
Ashby ,20170201,1,,
Asylum (2005),20160201,1,,
Atlantis: The Lost Empire (2001),20160301,1,,
Author! Author! (1982),20160501,1,,
Avengers Confidential: Black Widow & Punisher (2014),20160901,1,,
B for Boy ,20170315,1,,
Babe,20170801,1,,
Babe Winkelman’s Outdoor Secrets: 2014: Quarter 4,20170801,2,,
Babe: Pig in the City,20170801,1,,
Baby’s Day Out (1994),20151001,1,,
Back to the Future (1985),20161001,1,,
Back to the Future Part II (1989),20161001,1,,
Back to the Future Part III (1990),20161001,1,,
Bad Ink (Season 1),20160108,2,,
Bad Johnson (2014),20160401,1,,
Bad Santa (2003),20160201,1,,
Bali (Season 1),20151101,2,,
Balto 3: Wings of Change (2004),20151101,1,,
Bandits (2001),20151001,1,,
Bandslam (2009),20160401,1,,
Bang Bang!,20170501,1,,
Barbershop 2: Back in Business,20170401,1,,
Barefoot Contessa: Back to Basics Collection (Collection 1),20160401,2,,
Barfi! (2012),20160528,1,,
Barnyard (2006),20161101,1,,
Barnyard (2006),20151001,1,,
Barton Fink,20171001,1,,
Batman,20170701,1,,
Batman & Robin (1997),20151101,1,,
Batman Begins (2005),20151201,1,,
Becoming Chaz (2010),20150910,1,,
Bel Ami (2012),20151122,1,,
Bella,20171001,1,,
Beneath the Helmet,20170801,1,,
Benny and Joon (1993),20160201,1,,
Berkeley in the Sixties (1990),20160401,1,,
Best in Show (2000),20160701,1,,
Best Kept Secret (2013),20151101,1,,
Best Laid Plans (1999),20151101,1,,
Best of TEDx (Season 1),20160315,2,,
Best of Teletubbies,20150915,2,,
Better Off Ted: Season 1,20170401,2,,
Better Off Ted: Season 2,20170901,2,,
Better Than Chocolate (1999),20150901,1,,
Beverly Hills Cop II (1987),20161001,1,,
Beverly Hills Cop III (1994),20151201,1,,
Beware of Mr. Baker (2012),20160501,1,,
Bewitched,20170101,1,,
Beyond Borders (2003),20151001,1,,
Beyond Scared Straight! (Seasons 4–5),20160108,2,,
Beyond the Hills (2012),20161216,1,,
Big Daddy,20171001,1,,
Big Fish (2003),20160201,1,,
Bill & Ted’s Bogus Journey ,20170303,1,,
Bill & Ted’s Excellent Adventure (1989),20160501,1,,
Bill Cunningham New York (2010),20160415,1,,
Bizarre Foods With Andrew Zimmern Collection,20151001,2,,
Black Hawk Down,20170201,1,,
Black Hawk Down (2001),20160523,1,,
Black Mamba: Kiss of Death,20170501,1,,
Black Ops (series 2),20161201,1,,
Black or White ,20170302,1,,
Black Widow,20170801,1,,
Black Wings,20170701,1,,
Blade 2,20170101,1,,
Blade Runner: Theatrical Cut (1982),20160516,1,,
Blazing Saddles,20170701,1,,
Blitz (2011),20160823,1,,
Blondie’s New York,20170701,1,,
Blue Crush (2002),20160201,1,,
Bob Saget: That’s What I’m Talkin’ About (2013),20160915,1,,
Bob the Builder: Season 1,20170614,2,,
Bob’s Burgers: Season 2,20170507,2,,
Bombay Velvet ,20170920,1,,
"Bombs, Bullets and Fraud",20170701,1,,
Bones: Seasons 1–4,20170401,2,,
Bones: Seasons 5–11,20171021,2,,
Born to Defense ,20170430,1,,
Bottle Shock (2008),20160203,1,,
Bounce (2000),20160601,1,,
Bowfinger (1999),20160801,1,,
Boy ,20170315,1,,
Boys of Abu Ghraib,20170614,1,,
Bratz Kidz: Fairy Tales (2007),20151012,1,,
Bratz the Video: Starrin’ & Stylin’ (2004),20150915,1,,
Bratz: Babyz: The Movie ,20170201,1,,
Bratz: BFF: Best Friends Forever (2007),20160515,1,,
Bratz: Desert Jewelz (2011),20150929,1,,
Bratz: Diamondz (2006),20151117,1,,
Bratz: Friendship Is Always in Style (2014),20150909,1,,
Bratz: Genie Magic (2006),20151026,1,,
Bratz: Good Vibes (2011),20151103,1,,
Bratz: Pampered Petz (2010),20151110,1,,
Bratz: Rock Angelz (2005),20150901,1,,
Bratz: Super Babyz ,20170201,1,,
Bratz: The Movie (2007),20161101,1,,
Braxton Family Values (Season 3),20160731,1,,
Braxton Family Values (Season 3),20151031,2,,
Breakfast at Tiffany’s,20170101,1,,
Breaking the Girls (2013),20151119,1,,
Breath of the Gods,20170624,1,,
Brian’s Song (1971),20151201,1,,
Brian’s Song (2001),20151201,1,,
Bridezillas (Season 10),20160211,2,,
Bridget Jones: The Edge of Reason (2004),20151215,1,,
Bridget Jones’s Diary (2001),20160601,1,,
Bring It On,20170101,1,,
Bring It On: All or Nothing,20170101,1,,
Broadway Idiot (2013),20160501,1,,
Bronies: The Extremely Unexpected Adult Fans of My Little Pony (2013),20151230,1,,
Brothers in War ,20170215,1,,
Brüno (2009),20151016,1,,
Buffy the Vampire Slayer: Seasons 1–7,20170401,2,,
Bulworth (1998),20160701,1,,
Burning Man (2011),20151127,1,,
Bus Stop (1956),20160501,1,,
Butch Cassidy and the Sundance Kid (1969),20160701,1,,
Buying & Selling (Seasons 1–2),20151001,2,,
C.O.G. (2013),20151209,1,,
Caillou (Season 5),20160701,2,,
Call Me Crazy: A Five Film (2013),20160901,1,,
Camp Takota (2014),20161201,1,,
Can’t Hardly Wait (1998),20161101,1,,
Caprica (Season 1),20151001,2,,
